name	uuid	numData	evaluationNoise	initPlasticity	plasticityDecay	numEpochs	updateAlgorithm	atDatum	errorRate	timeTaken
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	7500	0.548	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	47500	0.5252	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	87500	0.516	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	10000	0.536	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	50000	0.5228	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	90000	0.51	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	12500	0.5368	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	52500	0.5204	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	92500	0.5456	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	15000	0.53	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	55000	0.5356	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	95000	0.5056	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	17500	0.548	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	57500	0.5276	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	97500	0.5212	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	20000	0.5452	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	60000	0.5236	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	100000	0.5304	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	22500	0.5268	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	62500	0.5364	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	25000	0.5424	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	65000	0.5212	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	27500	0.5372	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	67500	0.5204	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	30000	0.5292	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	70000	0.5312	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	32500	0.5344	
